,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
9859,AUTO37995,2023-11-27,2023-11-27,2023-11-27,Collecte,0jbxz085fw,NO_T10_GRE VALLIER_LUN JEU_CS_151010,0.0,1716.0,60.0,,,16940,0.0,46.15,,46.15,GAM,151010.0,NO,T10,LUN JEU,CS
9860,AUTO37996,2023-11-27,2023-11-27,2023-11-27,Collecte,ukgs1JXztl,NO_T02_FONTAINE_LUN_CS_131003,12701.0,756.0,,,,15325,16.88,5.04,,21.92,GAM,131003.0,NO,T02,LUN,CS
9861,AUTO37997,2023-11-27,2023-11-27,2023-11-27,Collecte,87haddx1cc,GS_T03_JARRIE SECTEUR 1 COLL_LUN_OMR,586.0,268.0,,,586.0,20200,0.62,58.23,0.62,58.85,GAM,,GS,T03,LUN,OMR
9862,AUTO37998,2023-11-27,2023-11-27,,Collecte,sjqx4xjr33,NO_T05_SEYSSINET VERC_LUN_OMR_134009,10052.0,313.0,1171.0,,24.0,0,21.04,41.03,0.02,62.07,GAM,134009.0,NO,T05,LUN,OMR
9863,AUTO38000,2023-11-27,2023-11-27,2023-11-27,Collecte,AhnI9sMNTj,NO_T01_FONTAINE_JEU_CS_131001,1187.0,214.0,,,32.0,2726,1.13,1.37,0.04,2.5,GAM,131001.0,NO,T01,JEU,CS
9864,AUTO37999,2023-11-27,2023-11-27,2023-11-27,Collecte,egru8o9gip,NE_T04_MURIA SMH MUR_LUN_OMR_116011,8620.0,243.0,318.0,,99.0,16950,17.56,36.2,0.05,53.76,GAM,116011.0,NE,T04,LUN,OMR
9865,AUTO38001,2023-11-27,2023-11-27,,Collecte,bba8ef2dvl,NO_T03_SASSENAGE FONT_LUN_CS_130011,11714.0,382.0,,,104.0,0,16.81,46.68,0.13,63.49,GAM,130011.0,NO,T03,LUN,CS
9866,AUTO38002,2023-11-27,2023-11-27,,Collecte,o4d9t8p252,NE_T09_SMH COLLECTIF_LUN_OMR_101015,8050.0,2100.0,,,148.0,0,12.66,49.82,0.09,62.48,GAM,101015.0,NE,T09,LUN,OMR
9867,AUTO38003,2023-11-27,2023-11-27,2023-11-27,Collecte,chy6rxpckl,GS_T04_NDM CHPDRAC_LUN_OMR,0.0,2299.0,683.0,,,16198,0.0,50.97,,50.97,GAM,,GS,T04,LUN,OMR
9868,AUTO39561,2023-12-26,2023-12-26,,Collecte,xbq43ggoqh,NE_T11_GRE QUAI  ILE VERTE_MAR VEN_CS_110002,5502.0,729.0,,,286.0,0,4.8,25.66,0.06,30.46,GAM,110002.0,NE,T11,MAR VEN,CS
