,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
0,AUTO33428,2023-09-04,2023-09-04,,Collecte,j364urbaz5,NE_T01_TRONC MEYS2_LUN JEU_OMR_110004,12292.0,480.0,,,89.0,0,18.92,33.26,0.04,52.18,GAM,110004.0,NE,T01,LUN JEU,OMR
1,AUTO33429,2023-09-04,2023-09-04,,Collecte,oF7I4xGfPC,NE_T17_GRE GRENETTE MALHERBE_LUN JEU_OMR_110006,7604.0,944.0,3050.0,,117.0,0,6.91,20.1,0.05,27.01,GAM,110006.0,NE,T17,LUN JEU,OMR
2,AUTO33430,2023-09-04,2023-09-04,,Collecte,0jbxz085fw,NO_T10_GRE VALLIER_LUN JEU_CS_151010,0.0,1713.0,581.0,,,0,0.0,30.35,,30.35,GAM,151010.0,NO,T10,LUN JEU,CS
3,AUTO33436,2023-09-04,2023-09-04,,Collecte,fknz9lrv64,,0.0,982.0,4416.0,,,0,0.0,56.01,,56.01,GAM,,,,,
4,AUTO33437,2023-09-04,2023-09-04,,Collecte,jvdwb1fexp,,57.0,816.0,1512.0,,,0,0.08,27.33,,27.41,GAM,,,,,
5,AUTO33444,2023-09-04,2023-09-04,,Collecte,zp1g9jrpi1,,85.0,32.0,8091.0,,85.0,0,0.04,11.03,0.04,11.07,GAM,,,,,
6,AUTO33439,2023-09-04,2023-09-04,,Transport,61FRWBjauh,,1345.0,7551.0,180.0,,1345.0,0,0.33,78.75,0.33,79.08,GAM,,,,,
7,AUTO33440,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,cewxgzybhe,TEST PAV_1771_LA LUIRE_MER_CS_170005,248.0,18054.0,348.0,,248.0,25746,0.11,69.3,0.11,69.41,GAM,170005.0,TEST PAV,1771,MER,CS
8,AUTO33441,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,8qtjzvpvsd,circuit libre,179.0,9106.0,510.0,,179.0,17276,0.1,43.13,0.1,43.23,GAM,,circuit libre,,,
9,AUTO33442,2023-09-04,2023-09-04,,Collecte PAV,37ix70x3dv,,115.0,6104.0,,,115.0,0,0.08,82.67,0.08,82.75,GAM,,,,,
10,AUTO33443,2023-09-04,2023-09-04,,Collecte,csu9voc7bl,,0.0,,272.0,,,0,0.0,5.08,,5.08,GAM,,,,,
11,AUTO33445,2023-09-04,2023-09-04,,Collecte PAV,Mbtg7C288o,,51.0,7302.0,2709.0,,51.0,0,0.03,29.27,0.03,29.3,GAM,,,,,
12,AUTO33446,2023-09-04,2023-09-04,,Collecte,a4rn5sg8yd,SUD_T12R_PONT CLAIX OUEST_LUN_OMR_120048,20619.0,32.0,60.0,,141.0,0,28.0,48.01,0.14,76.01,GAM,120048.0,SUD,T12R,LUN,OMR
13,AUTO33458,2023-09-04,2023-09-04,,Collecte,cpixtr8npf,,0.0,15134.0,1911.0,,,0,0.0,97.39,,97.39,GAM,,,,,
14,AUTO33447,2023-09-04,2023-09-04,,Collecte,u16rgi3exd,SUD_T05_GRE CP ECH COL_LUN_CS_120013,6399.0,50.0,,,48.0,0,4.57,40.26,0.02,44.83,GAM,120013.0,SUD,T05,LUN,CS
15,AUTO33448,2023-09-04,2023-09-04,2023-09-04,Collecte,nlz4jniqc3,GS_T08_VIZILLE_LUN_OMR_160005,10366.0,27.0,,,116.0,16213,14.22,77.49,0.03,91.71,GAM,160005.0,GS,T08,LUN,OMR
16,AUTO33449,2023-09-04,2023-09-04,,Collecte,j1h4gptjli,GS_T06_VIF 1_LUN_OMR_129016,7114.0,4.0,367.0,,54.0,0,16.56,86.23,0.02,102.79,GAM,129016.0,GS,T06,LUN,OMR
17,AUTO33450,2023-09-04,2023-09-04,2023-09-04,Collecte,9tcc9i42vm,GS_T06_VIF 1_LUN_OMR_129016,70.0,206.0,656.0,,70.0,16363,0.02,93.64,0.02,93.66,GAM,129016.0,GS,T06,LUN,OMR
18,AUTO33459,2023-09-04,2023-09-04,,Collecte,BqsVQSMm80,,104.0,310.0,60.0,,104.0,0,0.04,11.68,0.04,11.72,GAM,,,,,
19,AUTO33451,2023-09-04,2023-09-04,2023-09-04,Collecte,oxe1pddfqt,SUD_T11_IDENTIF_LUN_CS_120065,9876.0,490.0,3.0,,28.0,13322,12.0,28.48,0.01,40.48,GAM,120065.0,SUD,T11,LUN,CS
20,AUTO33453,2023-09-04,2023-09-04,,Collecte,v8ciubqaen,SUD_T08_IDENTIF_LUN_CS_120059,0.0,1191.0,2548.0,,,0,0.0,32.25,,32.25,GAM,120059.0,SUD,T08,LUN,CS
21,AUTO33460,2023-09-04,2023-09-04,,Collecte,7nHTChwECF,,9232.0,60.0,,,161.0,0,14.31,29.53,0.09,43.84,GAM,,,,,
22,AUTO33452,2023-09-04,2023-09-04,2023-09-04,Collecte,ikv5vt40ba,SUD_T03_ECH COLL_LUN_CS_120035,21.0,4177.0,,,21.0,15405,0.01,21.27,0.01,21.28,GAM,120035.0,SUD,T03,LUN,CS
23,AUTO33454,2023-09-04,2023-09-04,2023-09-04,Collecte,uqvjh3gzxu,SUD_T10_IDENTIF_LUN_CS_120063,10110.0,41.0,378.0,,68.0,15946,12.08,48.97,0.01,61.05,GAM,120063.0,SUD,T10,LUN,CS
24,AUTO33455,2023-09-04,2023-09-04,,Collecte,1t8IcmYe1z,SUD_T09_IDENTIF_LUN_CS_120061,14120.0,60.0,,,155.0,0,12.55,24.77,0.05,37.32,GAM,120061.0,SUD,T09,LUN,CS
25,AUTO33456,2023-09-04,2023-09-04,2023-09-04,Collecte,dcw2igdtrd,SUD_T02_ECH GRE COLL_LUN_CS P_120034,180.0,1457.0,384.0,,180.0,11306,0.03,40.06,0.03,40.09,GAM,120034.0,SUD,T02,LUN,CS P
26,AUTO33461,2023-09-04,2023-09-04,,Collecte,72hgb55djb,,0.0,818.0,2155.0,,,0,0.0,72.54,,72.54,GAM,,,,,
27,AUTO33457,2023-09-04,2023-09-04,,Collecte,HHrKcPoPW1,SUD_T06_CLAIX HT_LUN_OMR_120051,9220.0,697.0,2388.0,,178.0,0,18.13,41.91,0.16,60.04,GAM,120051.0,SUD,T06,LUN,OMR
28,AUTO33462,2023-09-04,2023-09-04,,Collecte,7joy6o7022,,0.0,886.0,,,,0,0.0,21.08,,21.08,GAM,,,,,
29,AUTO33464,2023-09-04,2023-09-04,,Transport,aef992hscu,,656.0,5433.0,2136.0,,656.0,0,0.46,96.32,0.46,96.78,GAM,,,,,
30,AUTO33465,2023-09-04,2023-09-04,,Collecte,57igmhyovd,,19.0,267.0,,,19.0,0,0.0,18.31,0.0,18.31,GAM,,,,,
31,AUTO33466,2023-09-04,2023-09-04,,Transport,m6n5m046hj,,25.0,,1426.0,,25.0,0,0.01,6.82,0.01,6.83,GAM,,,,,
32,AUTO33468,2023-09-04,2023-09-04,,Transport,5eitxzjt9l,,0.0,599.0,3387.0,,,0,0.0,31.29,,31.29,GAM,,,,,
33,AUTO33467,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,72WCpsL0Lb,circuit libre,0.0,,,,,4892,0.0,0.11,,0.11,GAM,,circuit libre,,,
34,AUTO33469,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,72WCpsL0Lb,circuit libre,0.0,,,,,890,0.0,0.03,,0.03,GAM,,circuit libre,,,
35,AUTO33470,2023-09-04,2023-09-04,,Collecte PAV,72WCpsL0Lb,circuit libre,0.0,,,,,0,0.0,0.0,,0.0,GAM,,circuit libre,,,
36,AUTO29034,2023-06-12,2023-06-12,2023-06-12,Collecte,chy6rxpckl,GS_T04_NDM CHPDRAC_LUN_OMR,0.0,667.0,1216.0,,,19602,0.0,53.33,,53.33,GAM,,GS,T04,LUN,OMR
37,AUTO29035,2023-06-12,2023-06-12,2023-06-12,Collecte,912yxz768z,GS_T01_MTCHB STBS CHPG_LUN_OMR,10443.0,2242.0,1336.0,,56.0,20884,16.65,58.33,0.03,74.98,GAM,,GS,T01,LUN,OMR
38,AUTO29036,2023-06-12,2023-06-12,2023-06-12,Collecte,nlz4jniqc3,GS_T03_JARRIE SECTEUR 1 COLL_LUN_OMR,12771.0,21.0,,,619.0,21872,20.86,35.56,0.66,56.42,GAM,,GS,T03,LUN,OMR
39,AUTO29037,2023-06-12,2023-06-12,,Collecte,uzqctwc7pp,NE_T19_GRE CONDORCET G RAMBAUD_LUN JEU_OMR_110022,34.0,1062.0,5627.0,,34.0,0,0.01,30.19,0.01,30.2,GAM,110022.0,NE,T19,LUN JEU,OMR
40,AUTO29038,2023-06-12,2023-06-12,,Collecte,htl2qtq856,GS_T02_CASERNE VARCES_LUN_OMR_160009,9457.0,2486.0,1598.0,,55.0,0,15.57,72.76,0.03,88.33,GAM,160009.0,GS,T02,LUN,OMR
41,AUTO29039,2023-06-12,2023-06-12,2023-06-12,Collecte,pgf8clwyux,NO_T09_GRE MARTYRS_LUN JEU_CS_151005,62.0,2022.0,1669.0,,62.0,20394,0.04,33.4,0.04,33.44,GAM,151005.0,NO,T09,LUN JEU,CS
42,AUTO29040,2023-06-12,2023-06-12,2023-06-12,Collecte,ux94b14wke,NO_T06_ST EGREVE N_LUN JEU_CS_142006,14.0,17.0,2936.0,,14.0,7072,0.01,11.69,0.01,11.7,GAM,142006.0,NO,T06,LUN JEU,CS
43,AUTO29041,2023-06-12,2023-06-12,2023-06-12,Collecte,ukgs1JXztl,NO_T02_FONTAINE_LUN_CS_131003,11870.0,5.0,,,1.0,13092,16.56,2.78,0.0,19.34,GAM,131003.0,NO,T02,LUN,CS
44,AUTO29042,2023-06-12,2023-06-12,2023-06-12,Collecte,j364urbaz5,NE_T01_TRONC MEYS2_LUN JEU_OMR_110004,13040.0,1968.0,,,220.0,21882,19.5,15.54,0.04,35.04,GAM,110004.0,NE,T01,LUN JEU,OMR
45,AUTO29043,2023-06-12,2023-06-12,,Collecte,37qykhmywu,NE_T06_SMH COLLECTIF_LUN_OMR_101012,84.0,1093.0,4115.0,,84.0,0,0.02,27.32,0.02,27.34,GAM,101012.0,NE,T06,LUN,OMR
46,AUTO29044,2023-06-12,2023-06-12,,Collecte,zp1g9jrpi1,NO_T16_20EME POLLUEES_LUN_CS P_152000,155.0,620.0,3942.0,,155.0,0,0.13,57.84,0.13,57.97,GAM,152000.0,NO,T16,LUN,CS P
47,AUTO29045,2023-06-12,2023-06-12,2023-06-12,Collecte,h7qn96fkxd,NE_T07_SMH COLLECTIF_LUN_OMR_101013,9909.0,836.0,,,,20027,11.96,33.38,,45.34,GAM,101013.0,NE,T07,LUN,OMR
48,AUTO29046,2023-06-12,2023-06-12,2023-06-12,Collecte,egru8o9gip,NE_T04_MURIA SMH MUR_LUN_OMR_116011,8011.0,40.0,934.0,,125.0,16162,18.18,33.86,0.05,52.04,GAM,116011.0,NE,T04,LUN,OMR
49,AUTO29047,2023-06-12,2023-06-12,2023-06-12,Collecte,ighzc1n730,NO_T04_SASSENAGE_LUN_CS_133004,3993.0,700.0,,,,18951,4.0,56.06,,60.06,GAM,133004.0,NO,T04,LUN,CS
50,AUTO29049,2023-06-12,2023-06-12,,Collecte,AhnI9sMNTj,NO_T01_FONTAINE_LUN_CS_131001,13336.0,604.0,1348.0,,238.0,0,16.19,34.48,0.14,50.67,GAM,131001.0,NO,T01,LUN,CS
51,AUTO29048,2023-06-12,2023-06-12,2023-06-12,Collecte,48siz8x96i,NE_T10_GRE HUGO TEISSEIRE_LUN JEU_OMR_110008,6263.0,11.0,404.0,,13.0,13049,8.21,21.9,0.01,30.11,GAM,110008.0,NE,T10,LUN JEU,OMR
52,AUTO29050,2023-06-12,2023-06-12,,Collecte,qshw7egqjb,NE_T16_GRE BRO VILLEBOIS POT_OMR_LUN JEU_110025,6023.0,530.0,4679.0,,42.0,0,7.63,19.24,0.01,26.87,GAM,110025.0,NE,T16,OMR,LUN JEU
53,AUTO29051,2023-06-12,2023-06-12,2023-06-12,Collecte,7lqyjw34p3,NO_T08_ST MARTIN LE VI_LUN_CS_143008,14006.0,20.0,,,91.0,19369,22.25,39.38,0.05,61.63,GAM,143008.0,NO,T08,LUN,CS
54,AUTO29053,2023-06-12,2023-06-12,,Collecte,ih6g9vhdlz,NO_T07_ST EGREVE SUD_LUN_CS_142007,121.0,459.0,,,121.0,0,0.09,61.66,0.09,61.75,GAM,142007.0,NO,T07,LUN,CS
55,AUTO29052,2023-06-12,2023-06-12,2023-06-12,Collecte,claael2j88,NO_T13_GRE CHORIER_LUN JEU_CS_151004,58.0,1361.0,,,58.0,19963,0.01,40.43,0.01,40.44,GAM,151004.0,NO,T13,LUN JEU,CS
56,AUTO29068,2023-06-12,2023-06-12,,Collecte,y7gjux7fmc,,7295.0,526.0,3504.0,,133.0,0,6.45,42.66,0.06,49.11,GAM,,,,,
57,AUTO29054,2023-06-12,2023-06-12,2023-06-12,Collecte,sjqx4xjr33,NO_T05_SEYSSINET VERC_LUN_OMR_134009,10722.0,60.0,,,122.0,14660,27.72,18.17,0.09,45.89,GAM,134009.0,NO,T05,LUN,OMR
58,AUTO29055,2023-06-12,2023-06-12,,Collecte,o4d9t8p252,NE_T09_SMH COLLECTIF_LUN_OMR_101015,8317.0,1964.0,2495.0,,108.0,0,10.88,42.17,0.05,53.05,GAM,101015.0,NE,T09,LUN,OMR
59,AUTO29056,2023-06-12,2023-06-12,,Collecte,uwr44zs7w5,NE_T08_SMH COLLECTIF_LUN_OMR_101014,42.0,766.0,3726.0,,42.0,0,0.03,30.21,0.03,30.24,GAM,101014.0,NE,T08,LUN,OMR
60,AUTO29057,2023-06-12,2023-06-12,,Collecte,0jbxz085fw,NO_T11_GRE GARE LIBERA_LUN_CS_151008,0.0,973.0,637.0,,,0,0.0,51.79,,51.79,GAM,151008.0,NO,T11,LUN,CS
61,AUTO29058,2023-06-12,2023-06-12,,Collecte,bba8ef2dvl,NO_T03_SASSENAGE FONT_LUN_CS_130011,12297.0,47.0,,,134.0,0,15.3,37.43,0.12,52.73,GAM,130011.0,NO,T03,LUN,CS
62,AUTO29059,2023-06-12,2023-06-12,2023-06-12,Collecte,BqsVQSMm80,NE_T15_GRE POULAT CASERNE BONNE_OMR_LUN JEU_110023,7278.0,348.0,3990.0,,109.0,16046,7.67,18.21,0.1,25.88,GAM,110023.0,NE,T15,OMR,LUN JEU
63,AUTO29060,2023-06-12,2023-06-12,,Collecte,RJCrNlKBLn,NO_T06_ST EGREVE N_LUN JEU_CS_142006,121.0,535.0,1370.0,,121.0,0,0.13,66.39,0.13,66.52,GAM,142006.0,NO,T06,LUN JEU,CS
64,AUTO29099,2023-06-12,2023-06-12,,Collecte,v8ciubqaen,,0.0,2004.0,18988.0,,,0,0.0,55.92,,55.92,GAM,,,,,
65,AUTO29071,2023-06-12,2023-06-12,,Collecte,1hx5205tl5,,0.0,1575.0,2511.0,,,0,0.0,35.72,,35.72,GAM,,,,,
66,AUTO29061,2023-06-12,2023-06-12,,Collecte,bat8lwethv,NE_T12_GRE REY ABBAYE_OMR_LUN JEU,0.0,4631.0,265.0,,,0,0.0,27.81,,27.81,GAM,,NE,T12,OMR,LUN JEU
67,AUTO29062,2023-06-12,2023-06-12,,Collecte,oF7I4xGfPC,NE_T17_GRE GRENETTE MALHERBE_CS_MAR VEN_110006,7551.0,225.0,4791.0,,165.0,0,6.33,20.82,0.04,27.15,GAM,110006.0,NE,T17,CS,MAR VEN
68,AUTO29072,2023-06-12,2023-06-12,2023-06-12,Collecte,eiffgae8rm,,9625.0,452.0,2527.0,,275.0,15854,12.8,14.05,0.21,26.85,GAM,,,,,
69,AUTO29063,2023-06-12,2023-06-12,2023-06-12,Collecte,xbq43ggoqh,NE_T11_GRE ILE VERTE_OMR_LUN JEU,4886.0,60.0,4232.0,,125.0,16966,5.95,24.15,0.03,30.1,GAM,,NE,T11,OMR,LUN JEU
70,AUTO29073,2023-06-12,2023-06-12,2023-06-12,Collecte,3xwgytolne,,101.0,7893.0,,,101.0,18776,0.06,59.69,0.06,59.75,GAM,,,,,
71,AUTO29074,2023-06-12,2023-06-12,,Collecte,FnZSedjmt4,,7393.0,60.0,4535.0,,61.0,0,7.07,28.16,0.04,35.23,GAM,,,,,
72,AUTO29064,2023-06-12,2023-06-12,2023-06-12,Collecte,sx65jiyczg,NE_T02_TRONC MEYav t_JEU_CS_114002,141.0,1191.0,,,141.0,11426,0.04,24.38,0.04,24.42,GAM,114002.0,NE,T02,JEU,CS
73,AUTO29065,2023-06-12,2023-06-12,2023-06-12,Collecte,vnudajkzk5,NE_T05_SMH COLLECTIF_LUN_OMR_101023,239.0,2717.0,2134.0,,239.0,18244,0.08,40.7,0.08,40.78,GAM,101023.0,NE,T05,LUN,OMR
74,AUTO29066,2023-06-12,2023-06-12,2023-06-12,Collecte,g4tx3nrqg0,NO_T14_GRE EAUX C_LUN JEU_CS_151007,0.0,,,,,651,0.0,5.21,,5.21,GAM,151007.0,NO,T14,LUN JEU,CS
75,AUTO29067,2023-06-12,2023-06-12,,Collecte,g8k9apcqfs,NE_T14_GRE COLLECTIF_LUN_OMR_110009,0.0,467.0,2626.0,,,0,0.0,25.34,,25.34,GAM,110009.0,NE,T14,LUN,OMR
76,AUTO29069,2023-06-12,2023-06-12,,Collecte,9zz5ph3zpi,NE_T13_GRE ST URS HOCHE J ARC_OMR_ LUN JEU_110024,252.0,2450.0,1321.0,,252.0,0,0.11,36.93,0.11,37.04,GAM,110024.0,NE,T13,OMR, LUN JEU
77,AUTO29075,2023-06-12,2023-06-12,,Collecte,fknz9lrv64,,0.0,3458.0,1813.0,,,0,0.0,68.36,,68.36,GAM,,,,,
78,AUTO29115,2023-06-13,2023-06-13,,Collecte,ux94b14wke,NO_T06_ST EGREVE N_MAR VEN_OMR_142006,9601.0,60.0,3101.0,,97.0,0,17.03,36.41,0.08,53.44,GAM,142006.0,NO,T06,MAR VEN,OMR
79,AUTO29116,2023-06-13,2023-06-13,2023-06-13,Collecte,ighzc1n730,NO_T04_SASSENAGE_MAR_OMR_133004,3605.0,459.0,,,,19562,4.33,89.64,,93.97,GAM,133004.0,NO,T04,MAR,OMR
80,AUTO29117,2023-06-13,2023-06-13,2023-06-13,Collecte,vnudajkzk5,NE_T05_SMH COLLECTIF_MAR_CS_101023,70.0,568.0,6102.0,,70.0,17097,0.02,31.85,0.02,31.87,GAM,101023.0,NE,T05,MAR,CS
81,AUTO29118,2023-06-13,2023-06-13,2023-06-13,Collecte,h7qn96fkxd,NE_T07_SMH_COLLECTIF_MAR_CS_101013,8288.0,1923.0,3370.0,,60.0,30295,10.44,33.53,0.0,43.97,GAM,101013.0,NE,T07,COLLECTIF,MAR
82,AUTO29144,2023-06-13,2023-06-13,2023-06-13,Collecte,AhnI9sMNTj,NO_T01_FONTAINE_LUN_CS_131001,13851.0,60.0,,,139.0,19074,18.19,17.09,0.12,35.28,GAM,131001.0,NO,T01,LUN,CS
83,AUTO29119,2023-06-13,2023-06-13,2023-06-13,Collecte,uwr44zs7w5,NE_T08_SMH COLLECTIF_MAR_CS_101014,121.0,258.0,6861.0,,121.0,15688,0.06,22.31,0.06,22.37,GAM,101014.0,NE,T08,MAR,CS
84,AUTO29120,2023-06-13,2023-06-13,,Collecte,o4d9t8p252,NE_T BENNE SUP FERIES_SMH_LUN JEU_OMR,4936.0,419.0,4744.0,,135.0,0,8.52,33.03,0.04,41.55,GAM,,NE,T BENNE SUP FERIES,LUN JEU,OMR
85,AUTO29121,2023-06-13,2023-06-13,,Collecte,ih6g9vhdlz,NO_T07_ST EGREVE SUD_MAR_OMR_142007,110.0,660.0,906.0,,110.0,0,0.08,58.4,0.08,58.48,GAM,142007.0,NO,T07,MAR,OMR
86,AUTO29122,2023-06-13,2023-06-13,2023-06-13,Collecte,egru8o9gip,NE_T04_DOMENE EST_MAR VEN_OMR_112009,12658.0,8.0,,,44.0,18638,20.27,36.66,0.0,56.93,GAM,112009.0,NE,T04,MAR VEN,OMR
87,AUTO29123,2023-06-13,2023-06-13,2023-06-13,Collecte,claael2j88,NO_T13_GRE CHORIER_MAR VEN_OMR_151004,63.0,1041.0,,,63.0,17202,0.02,40.75,0.02,40.77,GAM,151004.0,NO,T13,MAR VEN,OMR
88,AUTO29124,2023-06-13,2023-06-13,,Collecte,sjqx4xjr33,NO_T05_SEYSSINET D_MAR VEN_OMR_134009,8568.0,60.0,4672.0,,54.0,0,12.6,44.49,0.0,57.09,GAM,134009.0,NO,T05,MAR VEN,OMR
89,AUTO29125,2023-06-13,2023-06-13,,Collecte,0jbxz085fw,NO_T10_GRE VALLIER_MAR_OMR_151010,0.0,1302.0,2682.0,,,0,0.0,53.29,,53.29,GAM,151010.0,NO,T10,MAR,OMR
90,AUTO29126,2023-06-13,2023-06-13,2023-06-13,Collecte,qshw7egqjb,NE_T16_GRE BROC VILLEBOIS POT_CS_MAR VEN_110025,6342.0,1238.0,4079.0,,138.0,17633,7.15,17.84,0.02,24.99,GAM,110025.0,NE,T16,CS,MAR VEN
91,AUTO29127,2023-06-13,2023-06-13,,Collecte,7lqyjw34p3,NO_T08_ST MARTIN LE VI_MAR_OMR_143008,9995.0,60.0,1117.0,,102.0,0,15.05,67.41,0.07,82.46,GAM,143008.0,NO,T08,MAR,OMR
92,AUTO29148,2023-06-13,2023-06-13,,Collecte,RJCrNlKBLn,,240.0,1303.0,1295.0,,240.0,0,0.14,54.43,0.14,54.57,GAM,,,,,
93,AUTO29128,2023-06-13,2023-06-13,2023-06-13,Collecte,jvdwb1fexp,NE_T17_GRE GRENETTE MALHERBE_CS_MAR VEN_110006,0.0,774.0,279.0,,,12022,0.0,19.86,,19.86,GAM,110006.0,NE,T17,CS,MAR VEN
94,AUTO29146,2023-06-13,2023-06-13,,Collecte,1hx5205tl5,,0.0,377.0,4236.0,,,0,0.0,47.8,,47.8,GAM,,,,,
95,AUTO29129,2023-06-13,2023-06-13,2023-06-13,Collecte,g4tx3nrqg0,NO_T14_GRE EAUX C_MAR VEN_OMR_151007,0.0,60.0,,,,1662,0.0,5.34,,5.34,GAM,151007.0,NO,T14,MAR VEN,OMR
96,AUTO29130,2023-06-13,2023-06-13,,Collecte,bba8ef2dvl,NO_T03_SASSENAGE FONT_MAR_OMR_130011,14109.0,345.0,587.0,,289.0,0,15.08,64.99,0.21,80.07,GAM,130011.0,NO,T03,MAR,OMR
97,AUTO29131,2023-06-13,2023-06-13,,Collecte,pgf8clwyux,NO_T16_GRE 20EME RENF_MAR_OMR_151999,94.0,1513.0,3781.0,,94.0,0,0.09,37.32,0.09,37.41,GAM,151999.0,NO,T16,MAR,OMR
98,AUTO29132,2023-06-13,2023-06-13,2023-06-13,Collecte,48siz8x96i,NE_T10_GRE HUGO TEISSEIRE_MAR VEN_CS_110008,5905.0,477.0,,,14.0,10174,7.59,18.95,0.0,26.54,GAM,110008.0,NE,T10,MAR VEN,CS
99,AUTO29133,2023-06-13,2023-06-13,,Collecte,bat8lwethv,NE_T12_GRE REY ABBAYE_CS_MAR VEN,0.0,3805.0,3559.0,,,0,0.0,23.49,,23.49,GAM,,NE,T12,CS,MAR VEN
100,AUTO29134,2023-06-13,2023-06-13,,Collecte,g8k9apcqfs,NE_T14_GRE COLLECTIF_MAR_CS_110009,0.0,1100.0,5612.0,,,0,0.0,19.82,,19.82,GAM,110009.0,NE,T14,MAR,CS
101,AUTO29135,2023-06-13,2023-06-13,,Collecte,3xwgytolne,NO_T09_GRE MARTYRS_MAR VEN_OMR_151005,112.0,3503.0,,,112.0,0,0.07,42.13,0.07,42.2,GAM,151005.0,NO,T09,MAR VEN,OMR
102,AUTO29137,2023-06-13,2023-06-13,2023-06-13,Collecte,BqsVQSMm80,NE_T15_GRE POULAT CASERNE BONNE_CS_MAR VEN_110023,8689.0,682.0,1999.0,,16.0,16726,6.74,14.93,0.01,21.67,GAM,110023.0,NE,T15,CS,MAR VEN
103,AUTO29138,2023-06-13,2023-06-13,,Collecte,eiffgae8rm,NE_T03_MEYLAN S1_MAR VEN_CS_115003,12235.0,60.0,2488.0,,217.0,0,16.53,8.13,0.16,24.66,GAM,115003.0,NE,T03,MAR VEN,CS
104,AUTO29149,2023-06-13,2023-06-13,,Collecte,FnZSedjmt4,,8753.0,60.0,5795.0,,40.0,0,8.87,16.53,0.0,25.4,GAM,,,,,
105,AUTO29139,2023-06-13,2023-06-13,2023-06-13,Collecte,sx65jiyczg,NE_T02_CORENC LE HA tra_MAR_CS_111008,141.0,393.0,5537.0,,141.0,18028,0.08,26.91,0.08,26.99,GAM,111008.0,NE,T02,MAR,CS
106,AUTO29140,2023-06-13,2023-06-13,,Collecte,9zz5ph3zpi,NE_T13_GRE ST URS HOCHE J ARC_CS_ MAR VEN_110024,105.0,2675.0,4574.0,,105.0,0,0.06,28.84,0.06,28.9,GAM,110024.0,NE,T13,CS, MAR VEN
107,AUTO29141,2023-06-13,2023-06-13,,Collecte,xbq43ggoqh,NE_T11_GRE ILE VERTE_CS_MAR VEN,5029.0,60.0,2840.0,,82.0,0,5.9,23.2,0.03,29.1,GAM,,NE,T11,CS,MAR VEN
108,AUTO29142,2023-06-13,2023-06-13,,Collecte,37qykhmywu,NE_T06_SMH COLLECTIF_MAR_CS_101012,38.0,473.0,4811.0,,38.0,0,0.01,17.98,0.01,17.99,GAM,101012.0,NE,T06,MAR,CS
109,AUTO29143,2023-06-13,2023-06-13,,Autre,zp1g9jrpi1,NO_TSAV_MAINTENANCE,79.0,456.0,2204.0,,79.0,0,0.04,46.59,0.04,46.63,GAM,,NO,TSAV,,
110,AUTO29145,2023-06-13,2023-06-13,2023-06-13,Collecte,g4tx3nrqg0,NO_T14_GRE EAUX C_MAR VEN_OMR_151007,0.0,60.0,,,,3728,0.0,3.64,,3.64,GAM,151007.0,NO,T14,MAR VEN,OMR
111,AUTO29150,2023-06-13,2023-06-13,,Collecte,fknz9lrv64,,0.0,2774.0,2616.0,,,0,0.0,42.71,,42.71,GAM,,,,,
112,AUTO29152,2023-06-13,2023-06-13,2023-06-13,Transport,Bj5S5eVr9N,,610.0,3371.0,119.0,,610.0,10792,0.19,48.87,0.19,49.06,GAM,,,,,
113,AUTO29154,2023-06-13,2023-06-13,2023-06-13,Collecte,cpixtr8npf,,0.0,3359.0,659.0,,,17266,0.0,96.68,,96.68,GAM,,,,,
114,AUTO29070,2023-06-12,2023-06-12,2023-06-12,Collecte,g4tx3nrqg0,NO_T14_GRE EAUX C_LUN JEU_CS_151007,0.0,421.0,,,,6644,0.0,7.86,,7.86,GAM,151007.0,NO,T14,LUN JEU,CS
115,AUTO29076,2023-06-12,2023-06-12,,Collecte,pvqkjig664,,0.0,4718.0,3969.0,,,0,0.0,34.24,,34.24,GAM,,,,,
116,AUTO29077,2023-06-12,2023-06-12,,Transport,Bj5S5eVr9N,,519.0,4151.0,1530.0,,519.0,0,0.33,134.77,0.33,135.1,GAM,,,,,
117,AUTO29079,2023-06-12,2023-06-12,2023-06-12,Transport,m6n5m046hj,,279.0,1204.0,224.0,,279.0,6659,0.17,21.07,0.17,21.24,GAM,,,,,
118,AUTO29080,2023-06-12,2023-06-12,,Transport,61FRWBjauh,,1001.0,3567.0,3895.0,,1001.0,0,0.24,109.58,0.24,109.82,GAM,,,,,
